iter	Logloss
0	0.5811621656
1	0.5010824661
2	0.4310989198
3	0.3940578216
4	0.3591129796
5	0.3374205853
6	0.3154658238
7	0.2981472587
8	0.2880758913
9	0.2764802123
10	0.2712557362
11	0.2659209843
12	0.2601642356
13	0.2563176044
14	0.2509928389
15	0.2486877305
16	0.2446698032
17	0.2417029278
18	0.2395890534
19	0.2372332991
20	0.235748866
21	0.2340183179
22	0.2325668647
23	0.2307424702
24	0.2298305117
25	0.2289225782
26	0.2279046861
27	0.2273562182
28	0.2263088357
29	0.2255575907
30	0.2244923886
31	0.223717719
32	0.2229718524
33	0.2224253102
34	0.2213022618
35	0.2204436115
36	0.2193484448
37	0.2188863924
38	0.2184785936
39	0.2175835206
40	0.2170628856
41	0.2166567364
42	0.2156521307
43	0.2151105322
44	0.2144142781
45	0.2140434236
46	0.2136348941
47	0.2131783617
48	0.2127493632
49	0.2116712993
50	0.2110656835
51	0.2103790839
52	0.2098912319
53	0.209284021
54	0.2089605515
55	0.208631899
56	0.2079778717
57	0.2077308358
58	0.2074281115
59	0.2072057517
60	0.2069309649
61	0.2066105437
62	0.2062964807
63	0.2058323773
64	0.2052891066
65	0.2047466639
66	0.2044234058
67	0.2039319228
68	0.2036671226
69	0.2032736647
70	0.2029267681
71	0.2026403752
72	0.2022412335
73	0.2020043598
74	0.2017785669
75	0.2015572849
76	0.2012279621
77	0.200989573
78	0.2007027941
79	0.2004123114
80	0.2001361514
81	0.1998848941
82	0.1996538522
83	0.1992571626
84	0.1987816017
85	0.1986060067
86	0.1985051318
87	0.1983224255
88	0.1981127492
89	0.1979249619
90	0.1976139195
91	0.1972972594
92	0.1971683921
93	0.196765021
94	0.1966047103
95	0.1964135601
96	0.1960445125
97	0.1957041988
98	0.1953093316
99	0.195181053
