iter	Passed	Remaining
0	18	1820
1	36	1810
2	51	1665
3	67	1627
4	85	1633
5	103	1627
6	125	1662
7	143	1649
8	159	1616
9	176	1589
10	193	1565
11	211	1553
12	228	1530
13	244	1503
14	261	1482
15	277	1457
16	293	1433
17	310	1414
18	328	1402
19	344	1378
20	364	1372
21	380	1350
22	398	1332
23	467	1480
24	554	1662
25	579	1648
26	601	1625
27	622	1601
28	643	1574
29	662	1546
30	678	1509
31	694	1476
32	712	1445
33	728	1414
34	746	1385
35	762	1355
36	777	1324
37	795	1298
38	812	1270
39	829	1243
40	846	1217
41	862	1191
42	880	1167
43	896	1141
44	914	1117
45	930	1092
46	947	1068
47	964	1044
48	981	1021
49	995	995
50	1012	973
51	1029	950
52	1047	928
53	1065	907
54	1083	886
55	1100	865
56	1120	845
57	1141	826
58	1165	809
59	1187	791
60	1207	772
61	1227	752
62	1248	733
63	1267	713
64	1286	692
65	1302	671
66	1320	650
67	1337	629
68	1354	608
69	1371	587
70	1389	567
71	1404	546
72	1422	526
73	1439	505
74	1454	484
75	1471	464
76	1487	444
77	1504	424
78	1521	404
79	1537	384
80	1554	364
81	1576	346
82	1598	327
83	1622	309
84	1643	289
85	1664	270
86	1682	251
87	1701	232
88	1719	212
89	1739	193
90	1761	174
91	1780	154
92	1798	135
93	1819	116
94	1837	96
95	1869	77
96	1885	58
97	1905	38
98	1922	19
99	1938	0
