iter	Passed	Remaining
0	25	7540
1	48	7286
2	76	7572
3	98	7297
4	124	7325
5	149	7320
6	172	7220
7	197	7204
8	238	7723
9	267	7746
10	294	7733
11	325	7807
12	353	7809
13	383	7843
14	410	7795
15	432	7675
16	459	7642
17	487	7637
18	508	7522
19	537	7521
20	568	7549
21	594	7512
22	622	7497
23	655	7536
24	703	7738
25	732	7722
26	762	7711
27	783	7615
28	805	7527
29	824	7423
30	848	7366
31	873	7318
32	906	7337
33	926	7249
34	965	7313
35	1003	7358
36	1043	7417
37	1066	7351
38	1101	7368
39	1130	7350
40	1156	7306
41	1178	7239
42	1199	7167
43	1221	7106
44	1248	7073
45	1269	7007
46	1289	6941
47	1314	6900
48	1338	6856
49	1360	6800
50	1381	6745
51	1414	6746
52	1473	6867
53	1503	6847
54	1535	6839
55	1582	6893
56	1602	6833
57	1640	6844
58	1670	6824
59	1705	6823
60	1736	6803
61	1765	6778
62	1805	6791
63	1850	6822
64	1902	6878
65	1940	6880
66	1968	6846
67	1998	6820
68	2024	6777
69	2056	6758
70	2078	6705
71	2102	6658
72	2128	6617
73	2148	6562
74	2170	6512
75	2190	6456
76	2214	6413
77	2233	6358
78	2255	6310
79	2276	6259
80	2300	6219
81	2329	6193
82	2364	6181
83	2394	6157
84	2415	6110
85	2447	6090
86	2472	6054
87	2497	6016
88	2519	5973
89	2543	5935
90	2566	5894
91	2589	5854
92	2607	5803
93	2626	5756
94	2646	5710
95	2675	5685
96	2696	5643
97	2718	5602
98	2740	5563
99	2763	5526
100	2784	5486
101	2809	5453
102	2829	5412
103	2850	5372
104	2868	5327
105	2890	5289
106	2910	5249
107	2929	5208
108	2948	5166
109	2968	5127
110	3002	5112
111	3020	5070
112	3038	5028
113	3060	4994
114	3081	4956
115	3102	4920
116	3123	4885
117	3142	4847
118	3161	4808
119	3178	4768
120	3197	4729
121	3213	4689
122	3233	4652
123	3252	4615
124	3270	4579
125	3288	4541
126	3307	4505
127	3332	4477
128	3353	4445
129	3370	4407
130	3387	4370
131	3404	4333
132	3421	4296
133	3442	4264
134	3463	4233
135	3482	4199
136	3499	4163
137	3518	4129
138	3538	4098
139	3555	4063
140	3575	4031
141	3592	3997
142	3610	3964
143	3628	3930
144	3647	3899
145	3667	3867
146	3682	3832
147	3700	3800
148	3722	3771
149	3741	3741
150	3760	3710
151	3778	3679
152	3796	3647
153	3814	3616
154	3832	3585
155	3852	3556
156	3871	3526
157	3888	3495
158	3909	3466
159	3926	3435
160	3945	3406
161	3966	3378
162	3984	3348
163	4002	3319
164	4021	3290
165	4041	3262
166	4060	3233
167	4077	3203
168	4095	3174
169	4112	3144
170	4130	3115
171	4149	3088
172	4167	3059
173	4183	3029
174	4200	3000
175	4219	2972
176	4239	2946
177	4258	2918
178	4277	2891
179	4295	2863
180	4313	2835
181	4333	2809
182	4351	2782
183	4373	2757
184	4391	2729
185	4409	2702
186	4435	2680
187	4452	2652
188	4472	2626
189	4488	2598
190	4507	2572
191	4526	2546
192	4545	2520
193	4564	2493
194	4581	2467
195	4598	2440
196	4617	2414
197	4636	2388
198	4657	2363
199	4675	2337
200	4692	2311
201	4710	2285
202	4733	2261
203	4751	2236
204	4770	2210
205	4788	2185
206	4807	2160
207	4827	2135
208	4848	2110
209	4867	2086
210	4884	2060
211	4902	2034
212	4920	2009
213	4940	1985
214	4960	1960
215	4979	1936
216	4996	1911
217	5015	1886
218	5035	1862
219	5060	1840
220	5082	1816
221	5104	1793
222	5141	1775
223	5185	1759
224	5234	1744
225	5290	1732
226	5407	1739
227	5430	1714
228	5450	1689
229	5507	1676
230	5539	1654
231	5565	1631
232	5589	1607
233	5615	1583
234	5639	1559
235	5666	1536
236	5686	1511
237	5710	1487
238	5733	1463
239	5752	1438
240	5778	1414
241	5806	1391
242	5830	1367
243	5867	1346
244	5892	1322
245	5913	1298
246	5945	1275
247	5969	1251
248	5996	1228
249	6022	1204
250	6042	1179
251	6062	1154
252	6083	1130
253	6103	1105
254	6123	1080
255	6143	1055
256	6162	1031
257	6182	1006
258	6201	981
259	6220	957
260	6241	932
261	6269	909
262	6291	885
263	6310	860
264	6327	835
265	6343	810
266	6361	786
267	6381	761
268	6400	737
269	6418	713
270	6435	688
271	6452	664
272	6470	639
273	6488	615
274	6505	591
275	6524	567
276	6542	543
277	6560	519
278	6585	495
279	6604	471
280	6620	447
281	6637	423
282	6655	399
283	6672	375
284	6696	352
285	6713	328
286	6729	304
287	6747	281
288	6763	257
289	6782	233
290	6803	210
291	6820	186
292	6839	163
293	6857	139
294	6877	116
295	6895	93
296	6912	69
297	6931	46
298	6949	23
299	6967	0
