iter	Passed	Remaining
0	0	81
1	0	55
2	0	53
3	0	58
4	0	57
5	1	55
6	1	56
7	1	53
8	1	53
9	1	54
10	2	53
11	2	54
12	2	52
13	2	50
14	2	50
15	2	49
16	2	48
17	3	48
18	3	48
19	3	47
20	3	47
21	3	47
22	4	48
23	4	49
24	4	49
25	4	50
26	4	50
27	5	49
28	5	50
29	5	50
30	5	50
31	6	50
32	6	50
33	6	50
34	6	50
35	6	50
36	7	50
37	7	50
38	7	50
39	7	50
40	8	53
41	9	58
42	9	58
43	10	58
44	10	58
45	10	57
46	10	57
47	10	57
48	11	56
49	11	56
50	11	56
51	11	56
52	11	55
53	12	55
54	12	55
55	12	54
56	12	54
57	13	54
58	13	54
59	13	53
60	13	53
61	13	53
62	14	52
63	14	52
64	14	52
65	14	52
66	14	52
67	15	51
68	15	51
69	15	51
70	15	51
71	16	51
72	16	50
73	16	50
74	16	50
75	16	49
76	17	49
77	17	49
78	17	48
79	17	48
80	17	48
81	18	47
82	18	47
83	18	47
84	18	46
85	18	46
86	18	46
87	19	45
88	19	45
89	19	45
90	19	45
91	19	44
92	19	44
93	20	44
94	20	43
95	20	43
96	20	43
97	20	43
98	21	42
99	21	42
100	21	42
101	21	42
102	21	42
103	22	41
104	22	41
105	22	41
106	22	41
107	23	41
108	23	40
109	23	40
110	23	40
111	23	40
112	24	40
113	24	39
114	24	39
115	24	39
116	25	39
117	25	38
118	25	38
119	25	38
120	25	38
121	26	38
122	26	38
123	26	37
124	26	37
125	27	37
126	27	37
127	27	37
128	27	36
129	28	36
130	28	36
131	28	36
132	28	36
133	28	35
134	29	35
135	29	35
136	29	35
137	29	34
138	29	34
139	29	34
140	30	34
141	30	33
142	30	33
143	30	33
144	31	33
145	31	32
146	31	32
147	31	32
148	31	32
149	32	32
150	32	31
151	32	31
152	32	31
153	32	31
154	33	31
155	33	30
156	33	30
157	33	30
158	34	30
159	34	29
160	34	29
161	34	29
162	34	29
163	35	29
164	35	28
165	35	28
166	35	28
167	36	28
168	36	28
169	36	27
170	36	27
171	36	27
172	37	27
173	37	27
174	37	26
175	37	26
176	38	26
177	38	26
178	38	26
179	38	25
180	38	25
181	39	25
182	39	25
183	39	24
184	39	24
185	40	24
186	40	24
187	40	24
188	40	23
189	40	23
190	41	23
191	41	23
192	41	23
193	41	22
194	42	22
195	42	22
196	42	22
197	43	22
198	43	21
199	43	21
200	43	21
201	43	21
202	44	21
203	44	20
204	44	20
205	45	20
206	45	20
207	45	20
208	45	19
209	46	19
210	46	19
211	46	19
212	46	19
213	46	18
214	47	18
215	47	18
216	47	18
217	47	17
218	47	17
219	48	17
220	48	17
221	48	17
222	48	16
223	49	16
224	49	16
225	49	16
226	49	16
227	50	15
228	50	15
229	50	15
230	50	15
231	51	14
232	51	14
233	51	14
234	51	14
235	51	14
236	52	13
237	52	13
238	52	13
239	52	13
240	53	12
241	53	12
242	53	12
243	53	12
244	53	12
245	54	11
246	54	11
247	54	11
248	54	11
249	54	10
250	55	10
251	55	10
252	55	10
253	55	10
254	56	9
255	56	9
256	56	9
257	56	9
258	56	9
259	57	8
260	57	8
261	57	8
262	57	8
263	58	7
264	58	7
265	58	7
266	58	7
267	58	7
268	59	6
269	59	6
270	59	6
271	59	6
272	60	5
273	60	5
274	60	5
275	60	5
276	60	5
277	61	4
278	61	4
279	61	4
280	61	4
281	62	3
282	62	3
283	62	3
284	62	3
285	62	3
286	63	2
287	63	2
288	63	2
289	63	2
290	63	1
291	64	1
292	64	1
293	64	1
294	64	1
295	64	0
296	65	0
297	65	0
298	65	0
299	66	0
